Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep
201300024865,13,9,14,1415,1,2,3,1.0,6,172,"sans, GANGES (ROUTE DE",,,,340
201300040004,13,12,14,1304,1,2,1,1.0,3,51,"04, SAUSSAYE (BOULEVARD",,,,920
201300018050,13,11,27,1730,2,1,1,1.0,1,108,,M,0.0,0.0,440
201300016294,13,3,21,1430,1,2,1,1.0,7,103,"10, PLACE DES ANCIENS CO",,,,130
201300027310,13,4,2,810,1,2,1,1.0,3,184,RN 171 (DU PONT SNCF A ?,,,,440
201300002352,13,9,6,1445,1,2,1,1.0,6,164,37 AVENUE DE LA MER,M,4683092.0,-213415.0,850
201300056497,13,7,4,635,1,2,1,1.0,6,117,PORTE MAILLOT,,,,750
201300027262,13,11,30,1210,1,2,1,1.0,7,109,"0, ROUTE DE SAINT JOSEPH",,,,440
201300030492,13,4,4,1720,1,2,1,1.0,3,163,"13, FLANDRE (AVENUE DE)",,,,590
201300034366,13,7,12,1930,1,2,1,1.0,6,119,AVENUE DES MEMISES,,,,740
201300026350,13,11,11,1620,1,2,1,1.0,6,151,"12, ALL?E DU G?TINAIS",,,,380
201300051079,13,12,21,225,5,2,2,1.0,6,106,"6, BOULEVARD SAINT MICHE",,,,750
201300035584,13,9,28,1155,1,2,3,1.0,3,643,"1, GROSSE PIERRE RUE DE",,,,780
201300044130,13,4,27,1830,1,2,9,8.0,3,58,MARECHAL JOFFRE (AV DU),,,,940
201300038616,13,11,21,1340,1,2,1,1.0,6,4,"79, MOURINOUX ( RUE DES",,,,920
201300042431,13,10,2,1330,1,2,2,1.0,3,66,POULBOT FRANCISQUE,,,,930
201300027288,13,1,8,1815,5,2,2,1.0,7,184,COMBES (RUE EMILE),,,,440
201300046580,13,11,2,830,1,1,1,1.0,7,36,AUTOROUTE A15,,,,920
201300006654,13,5,10,1745,1,1,1,1.0,1,349,,M,0.0,0.0,100
201300056207,13,1,1,820,2,2,1,1.0,4,118,PORTE DE CLIGNANCOURT,,,,750
201300023728,13,5,20,1406,1,2,1,1.0,4,63,"256-258, BD JEAN-JACQUES",,,,330
201300050580,13,12,16,945,1,2,7,1.0,2,103,"03, PLACE DE LA REPUBLIQ",,,,750
201300049638,13,8,31,1731,1,2,2,1.0,6,389,QUAI JAYR,,,,690
201300000999,13,3,21,1815,1,2,1,2.0,2,339,La Mereil,M,4846800.0,-206006.0,220
201300044752,13,7,4,1815,1,1,1,1.0,6,18,QU DE BEZONS,M,4893370.0,224070.0,950
201300044070,13,6,25,1850,1,2,1,1.0,6,46,"., REPUBLIQUE (AV DE LA)",,,,940
201300022446,13,7,31,2150,1,2,1,1.0,6,189,KLEBER (RUE),M,4384996.0,437057.0,300
201300011301,13,10,24,1910,5,2,1,1.0,6,88,"12, DIJON (RUE DE)",,,,60
201300024258,13,11,21,1009,1,2,2,3.0,3,63,AVE LOUIS BARTHOU CAUD,,,,330
201300019575,13,5,8,1346,1,2,1,1.0,4,306,"., LAVOISIER (ANTOINE DE",M,4563172.0,-98747.0,170
201300017211,13,6,9,1100,1,1,1,1.0,1,143,,M,4664620.0,195200.0,360
201300045631,13,10,24,2040,3,1,1,1.0,2,28,A86 INT,M,4880200.0,244728.0,940
201300054476,13,12,29,400,5,2,1,1.0,2,116,ALLEE DE LONGCHAMP,,,,750
201300025741,13,3,6,855,1,2,2,1.0,6,261,RUE LAPONNERAYE,,,,370
201300026641,13,5,16,1205,1,2,3,2.0,3,187,"142, MULSANT (RUE)",M,4603969.0,405384.0,420
201300015909,13,11,12,750,1,2,1,1.0,3,55,BD SCHLOESING,M,4327604.0,539949.0,130
201300055463,13,11,10,620,2,2,1,2.0,6,119,"98, AVENUE DE FLANDRE",,,,750
201300025304,13,8,5,1528,1,2,1,1.0,4,238,"5, QUAI D'ILLE ET RANCE",M,4811070.0,-168648.0,350
201300010709,13,1,2,1000,1,2,1,1.0,4,88,"0, COTY (PONT RENE)",,,,60
201300010312,13,5,12,405,5,2,1,1.0,6,29,MIDI (BOULEVARD DU),,,,60
201300040963,13,9,29,2140,5,2,1,2.0,6,5,MITRY [CD115] (ROUTE DE),,,,930
201300052596,13,1,11,1145,1,2,1,1.0,6,112,"241, QUAI DE BERCY",,,,750
201300017596,13,11,17,1200,1,1,1,1.0,1,136,,M,0.0,0.0,60
201300024331,13,12,11,825,1,2,2,1.0,5,162,AVE DU MEDOC,,,,330
201300023847,13,6,29,1535,1,2,1,1.0,6,281,"0, RUE JACQUES PREVERT",,,,330
201300020017,13,2,9,2030,5,2,1,1.0,6,123,route de saint laurent,M,4782900.0,139800.0,410
201300057809,13,2,5,1329,1,2,1,2.0,6,2,"2, MANGO (ROUTE)",G,0.0,0.0,973
201300023146,13,11,9,1745,2,2,2,2.0,3,555,"138, AV DE FRONTON",,,,310
201300008280,13,9,8,545,3,1,1,1.0,6,144,,M,4372500.0,325300.0,340
201300048214,13,5,1,2000,1,1,1,1.0,6,350,ROUTE NATIONALE 356,,,,590
201300027954,13,2,9,1050,1,2,1,2.0,6,332,HUIT MAI 1945 (PLACE DU),M,4706409.0,-93567.0,490
201300032672,13,6,17,1850,1,2,1,1.0,3,440,"., PERRIN (RUE JEAN)",M,4322061.0,7911.0,650
201300007259,13,10,12,645,3,1,1,8.0,7,50,,M,0.0,0.0,250
201300038121,13,10,14,715,2,2,1,1.0,3,326,"36, COUR DE FRANCE (AVEN",,,,910
201300018116,13,10,21,945,1,1,1,1.0,1,364,,M,4842700.0,-208800.0,220
201300027761,13,6,8,1820,1,2,1,1.0,7,7,"14, LEVAVASSEUR",M,4747319.0,-53152.0,490
201300047286,13,11,22,1840,3,1,1,1.0,2,571,A13,,,,780
201300014143,13,1,9,2100,5,2,1,1.0,2,55,"19, BD SAKAKINI",M,4329795.0,540091.0,130
201300056900,13,4,11,1845,2,1,1,1.0,1,7,,A,0.0,0.0,971
201300057722,13,1,19,2250,3,2,1,1.0,6,13,6ROUTE DEPARTEMENTALE 3,A,0.0,0.0,972
201300046053,13,5,11,1550,1,1,1,1.0,3,580,AUTOROUTE A1,,,,950
201300057610,13,3,30,2045,5,2,1,1.0,6,9,"6Comm, PIERRE ET MARIE C",A,0.0,0.0,972
201300038708,13,2,5,1150,1,2,3,1.0,7,12,"57, REINE (ROUTE DE LA)",,,,920
201300044780,13,9,18,748,1,2,3,1.0,2,18,R DE LA VOIE DES BANS,M,4894780.0,226660.0,950
201300028566,13,6,21,1945,1,2,1,1.0,1,323,AUVERGNE (RUE D'),,,,540
201300054016,13,2,9,1200,1,2,7,2.0,6,116,"2, RUE BOIS LE VENT",,,,750
201300006129,13,10,14,730,2,2,1,1.0,6,304,Avenue Duch?ne,M,4829727.0,613373.0,880
201300008195,13,7,12,1045,1,1,1,1.0,6,137,,M,0.0,0.0,840
201300049539,13,11,21,1815,5,1,1,2.0,3,27,A450   5.100 A 7.285,,,,690
201300056848,13,5,7,1800,1,2,1,1.0,3,30,Avenue des raisiniers,A,0.0,0.0,972
201300000485,13,11,23,1645,1,1,2,1.0,3,579,,M,0.0,0.0,600
201300031034,13,11,23,1500,1,2,6,1.0,2,1,"1, MARTIN LUTHER KING (",M,4842840.0,6441.0,610
201300024665,13,4,13,1450,1,2,1,1.0,2,172,"13, CHOLET (RUE DE)",M,4358509.0,386920.0,340
201300024660,13,4,11,920,1,2,1,1.0,7,129,"0, EUROPE (PLACE DE L')",M,4360770.0,389411.0,340
201300003639,13,10,16,1645,1,1,1,1.0,6,264,,M,0.0,0.0,310
201300057410,13,4,3,2015,5,2,1,1.0,7,5,R.N.3,A,0.0,0.0,971
201300039630,13,6,20,1435,1,2,2,1.0,3,44,"78, MARIUS AUFAN(RUE) 1A",,,,920
201300037462,13,5,18,1433,1,2,1,1.0,7,413,"50, Rue Marie Curie",M,4828266.0,697787.0,880
201300031285,13,12,26,1330,1,2,2,1.0,6,193,FOUR A CHAUX (RUE DU),,,,620
201300029523,13,3,6,1640,1,2,1,1.0,3,672,"16, PRES SAINT-PIERRE (B",M,4935367.0,614666.0,570
201300015125,13,6,14,1230,1,2,1,1.0,2,55,AVE DU PRADO,,,,130
201300007278,13,5,3,1445,1,1,1,2.0,6,376,,M,0.0,0.0,390
201300039869,13,3,9,1930,1,2,1,9.0,7,50,"121, CLEMENCEAU GEORGES",,,,920
201300034577,13,6,3,1320,1,2,1,1.0,6,481,"7, CH DES QUATRE FERMES",M,4954609.0,11122.0,760
201300015573,13,1,15,1645,1,2,1,1.0,1,55,"83, CHE DE SAINT ANTOINE",M,4335494.0,537060.0,130
201300056367,13,4,17,1630,1,2,1,1.0,6,115,PORTE D ISSY,,,,750
201300038640,13,4,9,1330,1,2,1,3.0,3,7,"45, DORMOY (AVENUE MARX)",,,,920
201300041211,13,9,9,1955,2,2,1,1.0,2,10,SAKHAROV (RUE ANDREI),,,,930
201300054661,13,6,17,530,2,2,1,1.0,2,117,BOULEVARD PERIPHERIQUE E,,,,750
201300036298,13,9,28,2300,3,1,1,1.0,6,118,"0, ROUTE DE SAINT-BARTH?",,,,830
201300001537,13,11,15,1715,1,1,1,1.0,1,582,LA BLANDELLIERE,M,4870090.0,-91062.0,500
201300002248,13,2,22,2200,3,1,1,1.0,7,151,,M,0.0,0.0,850
201300019381,13,8,6,1935,1,2,2,1.0,3,299,"?, THIERS RUE",M,4593881.0,-96280.0,170
201300037320,13,9,25,950,1,2,1,1.0,2,85,"37, COTY (AVENUE DU PRES",,,,870
201300050067,13,12,21,1600,1,1,1,1.0,7,211,A50-Sens Aubagne vers Ma,,,,130
201300017754,13,4,25,1645,1,2,1,1.0,1,7,route de luxeuil,M,0.0,0.0,700
201300023167,13,11,21,1750,5,2,2,1.0,6,555,"28, AV HONORE SERRES",,,,310
201300031403,13,2,19,2015,5,1,1,1.0,3,510,", CD 58",,,,620
201300048347,13,3,9,1920,5,2,2,1.0,3,383,COURS GAMBETTA,,,,690
201300044690,13,2,28,1445,1,2,1,8.0,3,582,BD CHARLES DE GAULLE,M,4897280.0,225460.0,950
201300017593,13,4,25,1130,1,2,6,1.0,6,762,ROND POINT DU 06 JUIN,,,,140
201300053920,13,11,14,1900,5,2,1,2.0,3,115,"63, RUE CAMBRONNE",,,,750
201300014586,13,4,13,1650,1,2,1,1.0,3,55,"21, BD HENRI BARNIER",M,4337320.0,535357.0,130
201300030614,13,10,21,2210,5,2,1,1.0,6,512,"20, SALENGRO  (AVENUE RO",,,,590
201300009655,13,4,9,1800,1,1,2,1.0,3,163,,M,0.0,0.0,370
201300032949,13,3,4,745,1,1,1,1.0,3,204,"0, TROIS MAIRES (RUE DES",,,,670
201300025220,13,5,26,1210,1,2,3,1.0,2,238,G.POMPIDOU/BUF?RON,M,4810000.0,-168662.0,350
201300040638,13,1,24,1815,5,2,3,1.0,3,78,VIEUX CHEMIN DE ST DENIS,,,,920
201300017898,13,2,18,1945,5,2,1,1.0,6,124,rue de la devise,M,0.0,0.0,380
201300021667,13,12,24,1430,1,1,1,1.0,1,209,,M,4609200.0,588800.0,10
201300049065,13,3,21,1458,1,2,1,1.0,4,388,"209, AVENUE GENERAL FRER",,,,690
201300017642,13,4,13,1515,1,1,2,1.0,3,269,,M,4860530.0,638383.0,540
201300038836,13,10,7,935,1,2,1,1.0,6,12,"55, PIERRE GRENIER (AVEN",,,,920
201300054154,13,6,10,1520,1,2,7,1.0,6,117,"23, AVENUE DE NEUILLY",,,,750
201300025814,13,3,18,1633,1,2,1,1.0,6,261,RUE DE BEAUMONT,M,,,370
201300032615,13,1,30,1330,1,2,6,1.0,6,440,"., UNIVERSITE (ROND POIN",M,4322293.0,4599.0,650
201300056521,13,7,15,1000,1,2,1,1.0,3,119,PORTE DE LA VILLETTE,,,,750
201300045621,13,10,20,1930,5,1,1,3.0,5,17,A4,M,4883030.0,249097.0,940
201300044863,13,3,7,2127,3,1,1,1.0,6,218,BD JACQUES DUCLOS,M,4902560.0,210350.0,950
201300040027,13,3,18,850,1,2,1,1.0,6,51,"78, CHARLES DE GAULLE (A",,,,920
201300028699,13,4,25,2020,1,2,1,1.0,7,184,RD 674,,,,540
201300003496,13,1,31,1645,1,1,1,2.0,6,5,,M,4525400.0,148600.0,190
201300038407,13,1,12,110,5,2,1,8.0,1,589,CHAMBERLIN (RUE),,,,910
201300016871,13,4,8,1915,1,1,1,1.0,1,194,,M,0.0,0.0,370
201300000225,13,1,10,1900,5,2,1,1.0,1,711,Rue Salengro,M,0.0,0.0,620
201300041636,13,2,15,1420,1,2,1,1.0,3,45,"141, PARIS RUE DE",,,,930
201300019233,13,1,27,920,1,2,1,2.0,3,15,route de Basseau,M,4565161.0,12850.0,160
201300007683,13,11,17,600,3,1,1,8.0,6,116,,M,0.0,0.0,40
201300015503,13,9,4,800,1,2,1,1.0,6,55,"200, AVE DE LA ROSE",M,4332911.0,542740.0,130
201300001073,13,10,1,1000,1,2,6,1.0,3,173,,M,4801615.0,-420843.0,290
201300049334,13,5,1,114,3,1,1,1.0,2,487,A7   23+841,M,4556000.0,482207.0,380
201300043466,13,10,7,1450,1,2,1,1.0,3,11,"NC, CLAVIZIS.(RUE DES)",,,,940
201300025668,13,11,4,746,2,1,1,2.0,2,44,ROUTE DEPARTEMENTALE 920,,,,360
201300036212,13,10,13,1700,1,2,1,1.0,3,121,"NC, CHANTILLY (BOULEVARD",,,,820
201300021999,13,12,18,115,3,1,1,1.0,6,181,,M,4306591.0,135351.0,90
201300041013,13,2,24,1750,1,2,1,2.0,6,7,DIVISION LECLERC (ROND-P,,,,930
201300014633,13,4,27,2215,5,2,1,2.0,7,2,GENERAL LECLERC (AVENUE,,,,130
201300011098,13,7,11,1310,1,2,1,1.0,2,88,"sans, MIN NICE ST AUGUST",,,,60
201300049127,13,9,30,730,1,2,1,8.0,3,388,"60, AVENUE ROCKEFELLER",,,,690
201300027563,13,5,17,1725,1,2,1,1.0,2,95,"42, DEPARTEMENTALE N? 81",M,4451297.0,136919.0,460
201300040001,13,11,18,1440,1,2,1,1.0,2,51,"188BIS, CHARLES DE GAULL",,,,920
201300043365,13,4,11,1545,1,2,1,1.0,2,28,"NR, MATISSE(RUE HENRI)",,,,940
201300023251,13,7,18,730,1,1,2,1.0,2,232,,M,4845379.0,586860.0,880
201300050264,13,9,2,1115,1,2,1,1.0,6,101,"00, SOUTERRAIN TUILERIES",,,,750
201300006435,13,1,14,1730,5,1,1,1.0,4,364,,M,4795437.0,725557.0,680
201300017519,13,8,9,945,1,1,1,1.0,6,84,,M,0.0,0.0,830
201300000463,13,2,9,2345,3,1,1,8.0,7,551,,M,0.0,0.0,600
201300054721,13,9,8,330,5,2,3,1.0,3,117,AVENUE DE CLICHY,,,,750
201300056809,13,12,23,1500,1,2,1,1.0,4,114,PORTE DE VANVES,,,,750
201300041423,13,2,17,1450,1,2,2,1.0,3,29,"31, ANDRE SIGONNEY",,,,930
201300035781,13,11,4,1950,5,2,1,1.0,6,646,PARIS (AVENUE DE),,,,780
201300003468,13,9,6,1600,1,1,1,1.0,5,85,,M,4552600.0,138900.0,190
201300051828,13,9,19,1435,1,2,1,1.0,2,109,"7, RUE DE LA TOUR D AUVE",,,,750
201300035979,13,6,14,1345,1,1,1,1.0,2,21,"00, BRETELLE ACCES ROCAD",,,,800
201300007321,13,9,27,1530,1,1,1,1.0,6,491,,M,0.0,0.0,390
201300023306,13,4,28,1945,1,1,1,1.0,7,13,PESSAN (ROUTE DE),M,4362930.0,63359.0,320
201300001176,13,9,21,115,3,1,1,1.0,2,67,,M,0.0,0.0,560
201300025812,13,3,13,752,1,2,3,1.0,3,233,"217, STALINGRAD (AVENUE)",,,,370
201300023924,13,7,26,1620,1,2,3,1.0,2,63,VOIE D'ACCES PONT SAINT,,,,330
201300037561,13,5,2,715,1,2,1,1.0,7,10,DUBAIL (BOULEVARD),,,,900
201300047519,13,5,12,1730,1,1,1,1.0,4,689,AUTOROUTE A6B,,,,910
