Num_Acc,an,mois,jour,lum,agg,int,atm,col,senc,catv,occutc,obs,obsm,manv,catu,secu,catr,circ,nbv,prof,lartpc,larrout,surf,infra,situ,nb_veh,grav_simpl,Homme,Femme,Arrière,Autre_x,Avant,Conducteur,Autre_y,Inconnu,Loisirs,Professionnel,Travail,Adulte,Enfant,Jeune,Senior,choc_avant,choc_arriere,choc_lateral,choc_multiple,grav_order_max,heure,minute
201700009341,17,3,30,1,2,1,1.0,6.0,2.0,7.0,0.0,0.0,2.0,2.0,1,-1,4.0,1.0,2.0,2.0,0.0,50.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,2,0,0,2,4,0,0,0,0,1,0,0,3,14,0
201100043380,11,6,12,1,2,1,1.0,6.0,0.0,10.0,0.0,0.0,1.0,0.0,1,1,4.0,1.0,0.0,1.0,0.0,0.0,1,0.0,1.0,1,1,1,1,0,1,0,1,0,2,0,0,0,0,1,1,0,1,0,0,0,3,14,20
200600017495,6,4,19,3,1,1,1.0,2.0,0.0,33.0,0.0,0.0,2.0,17.0,1,2,3.0,2.0,2.0,2.0,0.0,76.0,1,0.0,1.0,2,4,4,0,0,0,0,4,2,0,0,2,0,4,0,0,0,1,1,0,0,4,22,30
201000027341,10,11,15,1,2,3,1.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1,2,3.0,0.0,3.0,2.0,0.0,0.0,1,0.0,0.0,2,2,2,2,0,0,0,4,2,0,2,0,0,2,0,0,2,1,1,0,0,2,16,30
201500027880,15,5,31,5,2,1,1.0,6.0,0.0,30.0,0.0,0.0,2.0,14.0,1,2,4.0,1.0,1.0,1.0,0.0,0.0,1,0.0,1.0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,3,40
200900035580,9,4,11,1,2,1,1.0,2.0,0.0,7.0,0.0,0.0,2.0,1.0,1,1,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,2,2,0,0,0,0,4,0,1,1,0,0,3,11,35
201200010793,12,2,20,1,2,1,1.0,6.0,0.0,7.0,0.0,0.0,1.0,14.0,1,-1,4.0,2.0,2.0,2.0,0.0,0.0,1,0.0,4.0,1,1,2,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,2,11,50
200600060298,6,10,8,1,2,1,1.0,3.0,0.0,7.0,0.0,0.0,2.0,15.0,1,1,2.0,2.0,2.0,0.0,0.0,100.0,1,0.0,1.0,2,1,4,2,2,0,0,4,0,6,0,0,0,0,2,4,0,1,0,0,0,2,18,45
201100036250,11,9,11,5,2,2,1.0,3.0,0.0,33.0,0.0,0.0,2.0,1.0,1,2,4.0,2.0,2.0,1.0,0.0,70.0,1,0.0,1.0,2,3,4,0,0,0,0,4,0,0,4,0,0,2,0,2,0,1,0,0,0,3,1,45
201100056027,11,12,27,1,2,1,1.0,6.0,1.0,99.0,0.0,0.0,0.0,0.0,3,-1,4.0,1.0,1.0,1.0,0.0,0.0,1,0.0,1.0,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,15,40
200600036122,6,6,19,1,2,1,1.0,6.0,0.0,14.0,0.0,0.0,1.0,11.0,1,-1,4.0,3.0,3.0,2.0,20.0,105.0,1,0.0,1.0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,4,16,2
201600044972,16,8,24,1,1,1,1.0,2.0,1.0,7.0,0.0,0.0,2.0,2.0,1,1,1.0,3.0,4.0,1.0,15.0,140.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,0,0,0,4,2,0,2,0,1,1,0,0,2,19,40
200500081726,5,12,18,1,2,1,4.0,3.0,0.0,7.0,0.0,0.0,2.0,1.0,1,1,4.0,2.0,2.0,1.0,0.0,50.0,0,0.0,1.0,2,2,6,4,4,0,2,4,0,6,4,0,0,0,4,6,0,1,0,0,0,2,11,0
201200002559,12,8,6,1,1,1,2.0,1.0,0.0,7.0,0.0,0.0,2.0,1.0,1,1,3.0,2.0,2.0,1.0,0.0,100.0,1,0.0,1.0,2,4,4,4,0,0,4,4,2,4,0,0,2,4,0,4,0,1,0,1,0,4,8,15
200900010886,9,3,2,1,2,1,2.0,6.0,0.0,7.0,0.0,1.0,0.0,1.0,1,1,4.0,1.0,2.0,2.0,0.0,40.0,1,0.0,1.0,2,1,6,0,0,2,0,4,2,0,2,2,0,0,0,2,4,1,0,0,0,3,10,10
200600044259,6,7,22,1,1,1,1.0,1.0,0.0,7.0,0.0,0.0,2.0,13.0,1,1,3.0,2.0,2.0,2.0,0.0,58.0,1,2.0,1.0,2,1,4,2,0,0,2,4,0,2,4,0,0,2,4,0,0,1,0,0,0,3,14,50
201000009389,10,7,26,1,2,1,1.0,3.0,0.0,10.0,0.0,0.0,2.0,9.0,1,1,3.0,0.0,2.0,1.0,0.0,140.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,0,2,2,0,2,0,0,2,1,0,1,0,3,10,30
201500052922,15,10,19,1,2,2,1.0,2.0,0.0,33.0,0.0,0.0,2.0,1.0,1,2,4.0,1.0,2.0,1.0,0.0,60.0,1,0.0,1.0,2,1,4,0,0,0,0,4,0,0,0,4,0,2,0,0,2,1,1,0,0,3,11,0
201600003112,16,6,21,1,2,1,7.0,3.0,0.0,31.0,0.0,0.0,2.0,1.0,1,2,3.0,2.0,0.0,2.0,0.0,0.0,1,0.0,2.0,2,3,2,2,0,0,0,4,2,0,0,0,2,0,0,4,0,1,0,0,0,3,9,0
200700080343,7,12,6,5,1,1,6.0,7.0,0.0,7.0,0.0,8.0,0.0,0.0,1,1,1.0,3.0,4.0,1.0,25.0,140.0,1,0.0,1.0,3,2,9,0,0,0,0,9,0,9,0,0,0,3,0,3,3,0,0,0,0,2,20,50
201300025248,13,6,17,1,2,1,1.0,6.0,1.0,7.0,0.0,0.0,1.0,4.0,3,-1,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,4.0,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,16,0
201300047725,13,9,15,1,1,1,1.0,6.0,0.0,7.0,0.0,4.0,0.0,0.0,1,1,2.0,1.0,2.0,1.0,15.0,70.0,1,0.0,0.0,1,2,2,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,1,2,7,8
