,lum,agg,int,col,moment,senc,catv,occutc,obs,obsm,manv,annee,nb_veh,choc_avant,choc_arriere,choc_lateral,choc_multiple,grav_order,secu,pieton,Conducteur,Autre,Arrière,Avant,pres_Homme,pres_Femme,age_grp_Enfant,age_grp_Adulte,age_grp_Jeune,age_grp_Senior,trajet_grp_Autre,trajet_grp_Inconnu,trajet_grp_Loisirs,trajet_grp_Professionnel,trajet_grp_Travail,catr,circ,nbv,prof,lartpc,larrout,infra,situ,mois,jour,jour_semaine,is_we,atm_enc,surf_enc
209753,1,2,1,6.0,2,0.0,33.0,0.0,0.0,2.0,1.0,2007,2.0,1.0,0.0,0.0,0.0,1,1,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,9.0,1.0,2.0,1.0,0.0,100.0,0.0,1.0,7,17,1,0,2,0
621441,2,2,6,3.0,2,0.0,7.0,0.0,0.0,2.0,9.0,2013,2.0,1.0,0.0,0.0,0.0,1,-1,0,2,0,0,0,2,0,0,1,1,0,0,0,1,1,0,4.0,2.0,4.0,1.0,0.0,40.0,5.0,1.0,11,5,1,0,2,2
266319,1,2,1,4.0,2,0.0,7.0,0.0,0.0,2.0,10.0,2008,3.0,1.0,0.0,1.0,0.0,1,1,0,3,0,0,0,2,0,0,1,0,2,0,1,2,0,0,4.0,2.0,2.0,1.0,0.0,70.0,0.0,1.0,4,3,3,0,2,2
172088,1,1,1,6.0,1,0.0,7.0,0.0,6.0,0.0,1.0,2007,1.0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2,13,1,0,2,2
502212,1,2,3,6.0,1,0.0,7.0,0.0,0.0,1.0,1.0,2011,1.0,1.0,0.0,0.0,0.0,1,-1,1,1,1,0,0,1,1,0,2,0,0,1,0,0,0,1,4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1,21,4,0,2,2
527875,1,1,1,5.0,1,0.0,99.0,0.0,0.0,0.0,1.0,2012,3.0,1.0,0.0,0.0,0.0,2,1,0,3,0,0,0,2,0,0,3,0,0,0,1,1,1,0,3.0,2.0,1.0,1.0,0.0,70.0,0.0,1.0,3,22,3,0,2,2
25128,1,2,1,3.0,1,0.0,7.0,0.0,0.0,2.0,1.0,2005,2.0,1.0,0.0,0.0,0.0,1,1,0,2,0,0,0,1,1,0,2,0,0,0,0,1,0,1,9.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5,28,5,1,2,0
149309,1,2,6,3.0,1,0.0,32.0,0.0,0.0,2.0,1.0,2006,2.0,1.0,0.0,1.0,0.0,1,1,0,2,0,0,1,2,0,0,0,3,0,1,2,0,0,0,4.0,2.0,2.0,1.0,0.0,0.0,5.0,1.0,10,25,2,0,2,2
568704,1,2,1,6.0,2,1.0,7.0,0.0,0.0,1.0,2.0,2012,1.0,1.0,0.0,0.0,0.0,1,-1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,12,29,5,1,2,2
200460,1,2,3,3.0,3,0.0,7.0,0.0,0.0,2.0,1.0,2007,2.0,1.0,0.0,0.0,0.0,1,1,0,2,0,0,1,1,2,0,1,0,2,0,1,2,0,0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,6,15,4,0,2,2
165240,1,1,1,1.0,1,0.0,7.0,0.0,0.0,2.0,13.0,2007,2.0,1.0,0.0,0.0,0.0,2,1,0,2,0,0,1,2,1,0,0,2,1,1,2,0,0,0,3.0,2.0,0.0,4.0,0.0,69.0,0.0,1.0,1,24,2,0,2,2
91315,2,2,1,6.0,2,0.0,7.0,0.0,0.0,1.0,1.0,2006,1.0,1.0,0.0,0.0,0.0,2,-1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,4.0,2.0,2.0,2.0,0.0,60.0,0.0,1.0,2,9,3,0,2,2
62376,1,1,1,4.0,1,0.0,7.0,0.0,0.0,0.0,23.0,2005,3.0,1.0,1.0,0.0,0.0,1,1,0,3,0,0,1,2,0,0,4,0,0,0,1,0,3,0,1.0,3.0,3.0,1.0,25.0,105.0,0.0,1.0,3,14,0,0,2,2
923774,1,2,7,3.0,2,1.0,7.0,0.0,0.0,2.0,1.0,2018,2.0,1.0,0.0,1.0,0.0,2,1,0,2,0,0,1,2,1,0,1,1,1,1,0,2,0,0,4.0,4.0,4.0,1.0,0.0,100.0,0.0,1.0,3,3,5,1,2,2
